"","X","gene","cluster_id","p_val","p_adj.loc","p_adj.glb","filtered","mean_KO","mean_WT","FC_KO/WT","log2FC_KO/WT"
"126035",126035,"Rpl4","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,660.47828269525,423.142873124653,1.56088717226411,0.642366256791808
"126041",126041,"U2surp","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,121.622292661682,28.9877509825612,4.19564431662357,2.06889237944202
"126079",126079,"Map4","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,155.860896729932,128.049097710792,1.21719636855197,0.283561934758868
"126108",126108,"Rpsa","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,621.976998809161,431.885389257848,1.44014364523414,0.526212718564351
"126358",126358,"Tmed7","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,37.6419924793274,5.19709063488569,7.24289705987691,2.85656687105432
"126614",126614,"Cct2","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,79.9235078875558,28.8718380423831,2.76821682673026,1.46895694969328
"126634",126634,"Hdlbp","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,99.3251546484673,54.777304654097,1.81325377865299,0.858580855353419
"126636",126636,"Ctnnd1","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,118.266169268128,91.0884417444228,1.2983663679302,0.376697534813116
"126640",126640,"Golim4","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,150.50181768248,98.4002680196918,1.52948585111945,0.613046760956774
"126740",126740,"Smc4","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,128.24789618235,47.5076733800889,2.69951961562698,1.43270269993774
"126926",126926,"Ano8","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,69.5334813258961,32.7203019188591,2.12508678857327,1.08752176213855
"126972",126972,"Eef2","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,519.047193481299,350.56161454598,1.48061616544506,0.566197685204386
"126991",126991,"Rrp12","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,51.5220993721156,10.3337293834676,4.9858185230342,2.31783037166146
"127041",127041,"Lars2","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,2947.43120571619,2122.15857420183,1.38888358369956,0.47392567760725
"127165",127165,"Ankrd11","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,328.214422353069,236.510649815561,1.38773633495583,0.47273348694672
"127212",127212,"Supt16","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,127.022245238739,47.2713037826381,2.68708994832911,1.42604461529837
"127411",127411,"Serbp1","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,428.10700503193,135.807523233955,3.15230699181834,1.65640804050724
"127431",127431,"Calm2","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,127.405550562733,70.0150040589329,1.81968925482735,0.863692104931668
"127519",127519,"Rbm42","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,50.8124022284448,12.1772773989445,4.17272273298538,2.06098906030018
"127630",127630,"Otud4","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,89.4946838360005,48.2892736850574,1.85330358082594,0.890099221720746
"127718",127718,"Matr3","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,126.027496486487,47.7274156059906,2.64056821192448,1.40084841000776
"127772",127772,"Srrt","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,88.1742114717275,29.2747433296613,3.01195506579861,1.5907002471569
"127910",127910,"Eef1a1","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,451.814892599975,198.053537988757,2.2812765537449,1.18984135174933
"127950",127950,"Nufip2","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,100.938292351477,43.3822019171685,2.32672127948238,1.21829839905778
"128182",128182,"Rbm8a","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,52.6814972054881,20.5546343287459,2.56299851230203,1.35783264121431
"128328",128328,"Golga4","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,199.696688525968,99.0912731849648,2.0152802775398,1.0109804972631
"128336",128336,"Pakap","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,177.185263407521,145.522470496071,1.21758009469957,0.284016678611654
"128405",128405,"Rpl12","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,294.186737487153,154.498233744929,1.90414304653376,0.929141863505586
"128497",128497,"Camk1d","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,2940.29682655459,1716.16029350589,1.71329964787144,0.776777493915952
"128564",128564,"Fndc3b","Neuronal cells 1",4.99975001249937e-05,0.00101342155114467,0.00640991206253641,FALSE,256.936151234287,220.344747550685,1.16606433368776,0.221647386593212
