"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Plac8",4.60381021523868e-65,1.24398432260489,0.163,0.055,2.6126162590458e-60,"0","Plac8"
"Adgre1",7.44790834941663e-65,0.970187690090867,0.118,0.03,4.22661350921044e-60,"0","Adgre1"
"Nckap1l",8.82694713604322e-65,0.89332988394474,0.126,0.034,5.00920423023317e-60,"0","Nckap1l"
"Ptgs2",3.54393675359431e-64,1.25891351398775,0.3,0.157,2.01114866829723e-59,"0","Ptgs2"
"Rftn1",5.20641447980727e-64,1.07524546772166,0.172,0.061,2.95458815314583e-59,"0","Rftn1"
"Cfb",7.55887962280211e-64,1.17013309527375,0.172,0.061,4.28958859714397e-59,"0","Cfb"
"Ptpn6",2.49346648497031e-63,0.932028385339818,0.128,0.035,1.4150172955558e-58,"0","Ptpn6"
"Ctsb",1.01844963824909e-62,1.53511713980048,0.374,0.257,5.77959985209978e-58,"0","Ctsb"
"Fcer1g",1.11346296074545e-62,0.903747163272332,0.141,0.042,6.31879095593437e-58,"0","Fcer1g"
"Cxcr4",7.61733507180326e-62,0.868853259520931,0.103,0.023,4.32276147989763e-57,"0","Cxcr4"
"Rel",3.66908015608483e-61,1.09822199868875,0.139,0.043,2.08216629777658e-56,"0","Rel"
"Ubc",2.14393942790122e-60,0.995586706697071,0.306,0.164,1.21666418593967e-55,"0","Ubc"
"Ly86",2.78633434839694e-60,0.954045018146454,0.117,0.032,1.58121687937178e-55,"0","Ly86"
"Emb",3.27894801463642e-60,0.953558501529765,0.118,0.032,1.86077020882602e-55,"0","Emb"
"Lilrb4b",3.94726241579605e-60,0.408773729118979,0.292,0.14,2.2400319483401e-55,"0","Lilrb4b"
"Vsir",4.52158099122763e-58,0.781624621874548,0.111,0.029,2.56595199671177e-53,"0","Vsir"
"Kdm6b",1.34462819954409e-57,1.28232861395835,0.34,0.213,7.63063056959273e-53,"0","Kdm6b"
"Mitf",5.02336568404639e-57,1.36397039375479,0.299,0.176,2.85070979203949e-52,"0","Mitf"
"Fgr",1.06594378256916e-56,0.880285735996444,0.169,0.063,6.04912437170175e-52,"0","Fgr"
"Ncf2",7.24579184402957e-56,0.845887456722376,0.183,0.072,4.11191441356834e-51,"0","Ncf2"
"Sestd1",1.30970326645474e-55,1.02726553279798,0.126,0.039,7.432435066804e-51,"0","Sestd1"
"Lpl",4.70431539223807e-55,1.1102379689566,0.147,0.051,2.66965194194118e-50,"0","Lpl"
"Cebpb",9.53078814186586e-55,1.06393806375437,0.245,0.122,5.40862696262746e-50,"0","Cebpb"
"Tnfaip3",3.57477868061198e-54,0.914345181442248,0.256,0.129,2.02865115346049e-49,"0","Tnfaip3"
"Wipf1",4.32437678487567e-54,0.922829755106387,0.195,0.084,2.4540405816491e-49,"0","Wipf1"
"Gm26740",1.14962123612683e-53,0.878505718156805,0.165,0.062,6.52398555289613e-49,"0","Gm26740"
"Snx18",3.59866155683103e-53,0.970880842348705,0.181,0.075,2.04220444688604e-48,"0","Snx18"
"Gab2",7.00342103087907e-52,1.10521821196771,0.388,0.274,3.97437140081356e-47,"0","Gab2"
"Slc43a2",3.18007689354394e-51,0.896127294171503,0.14,0.049,1.80466183631725e-46,"0","Slc43a2"
"Basp1",3.30566655061143e-51,0.779425391164663,0.278,0.146,1.87593271080648e-46,"0","Basp1"
"Cyth4",7.14719306075276e-51,0.776778166293394,0.113,0.034,4.05596059004658e-46,"0","Cyth4"
"Itgal",1.12239947532234e-50,0.795433324436638,0.108,0.031,6.36950478250674e-46,"0","Itgal"
"Arrb2",1.46319524719323e-50,0.978273188931625,0.13,0.044,8.30348670829686e-46,"0","Arrb2"
"Ciita",1.51457223955091e-50,1.1263355853595,0.172,0.072,8.59504600222743e-46,"0","Ciita"
"Rrbp1",1.75529243395042e-49,1.00220416314648,0.537,0.523,9.96110903342524e-45,"0","Rrbp1"
"Prkcb",5.59352327390171e-49,0.953325101500845,0.234,0.118,3.17426852270648e-44,"0","Prkcb"
"Hspa1a",6.5981076181149e-49,1.11310375085792,0.165,0.068,3.74436009220403e-44,"0","Hspa1a"
"Spi1",1.02739490370101e-48,0.782658985954463,0.104,0.03,5.83036333901285e-44,"0","Spi1"
"Fcgr2b",3.69839255492162e-48,0.812664460429152,0.109,0.033,2.09880079099247e-43,"0","Fcgr2b"
"Clec7a",4.34808823370425e-48,0.725040711936285,0.157,0.06,2.46749659174483e-43,"0","Clec7a"
"Ccl6",7.86480016084411e-48,0.85286238079174,0.114,0.036,4.46319544327742e-43,"0","Ccl6"
"Abca1",1.01474941872625e-47,1.3489147768833,0.271,0.16,5.7586014763296e-43,"0","Abca1"
"Skap2",1.02950518891063e-47,1.1177239007055,0.305,0.19,5.84233899654893e-43,"0","Skap2"
"Rgl1",2.30263202384009e-47,1.0803843496397,0.171,0.074,1.30672064720901e-42,"0","Rgl1"
"Dse",2.34174939744849e-47,0.860081739112748,0.112,0.036,1.32891936555804e-42,"0","Dse"
"Arid5b",3.47525398251327e-47,0.885228328512321,0.493,0.432,1.97217188253646e-42,"0","Arid5b"
"Cotl1",2.64975132031681e-46,0.835841830398669,0.109,0.034,1.50370737676658e-41,"0","Cotl1"
"AW112010",3.0605383575668e-46,1.01494999458407,0.113,0.037,1.73682491253559e-41,"0","AW112010"
"Evl",2.10771181943605e-45,0.791321246104856,0.115,0.038,1.19610538041176e-40,"0","Evl"
"Entpd1",2.40022262392782e-45,0.363976351758461,0.263,0.136,1.3621023368528e-40,"0","Entpd1"
"Csf2rb",7.3530915949613e-45,0.724419429216993,0.142,0.054,4.17280594922459e-40,"0","Csf2rb"
"Slc38a1",1.57989459609542e-44,0.898230209930794,0.108,0.035,8.96574384338192e-40,"0","Slc38a1"
"Gng2",6.86888736823439e-44,0.828229356275733,0.112,0.037,3.89802489259933e-39,"0","Gng2"
"Pla2g4a",7.2067514028424e-44,1.08400931892296,0.194,0.095,4.08975935359903e-39,"0","Pla2g4a"
"Ccrl2",1.45661316505179e-43,0.799184899170837,0.143,0.055,8.2661340503524e-39,"0","Ccrl2"
"Fbxl5",7.61393504943363e-43,1.0669118747847,0.307,0.202,4.32083200120309e-38,"0","Fbxl5"
"Hmox1",8.58551378982072e-43,1.00704558446618,0.14,0.056,4.87219322058536e-38,"0","Hmox1"
"Pik3ap1",1.69310450330837e-42,0.274306950538758,0.253,0.131,9.6081987458247e-38,"0","Pik3ap1"
"Pik3r5",3.04932986228974e-42,1.28170362159932,0.181,0.089,1.7304642035508e-37,"0","Pik3r5"
"Stab1",3.15764125714751e-42,0.936328009778805,0.124,0.046,1.79192983701864e-37,"0","Stab1"
"Rnf149",1.85904330244682e-41,0.850061056993041,0.24,0.132,1.05498848370555e-36,"0","Rnf149"
"Gbp5",5.6972859865747e-41,0.821060511533967,0.277,0.164,3.23315282452128e-36,"0","Gbp5"
"Gm2a",2.04290867038679e-40,0.903901459173618,0.109,0.038,1.1593302413578e-35,"0","Gm2a"
